engtype_2,district,state,statecode
District,pratapgarh,uttar_pradesh,UP
District,rae_bareli,uttar_pradesh,UP
District,rampur,uttar_pradesh,UP
District,west_godavari,andhra_pradesh,AD
District,haora,west_bengal,WB
District,saharanpur,uttar_pradesh,UP
District,lohit,arunachal_pradesh,AR
District,varanasi,uttar_pradesh,UP
District,koch_bihar,west_bengal,WB
District,kolkata,west_bengal,WB
District,sant_kabir_nagar,uttar_pradesh,UP
District,pathankot,punjab,PB
District,shahjahanpur,uttar_pradesh,UP
District,shravasti,uttar_pradesh,UP
District,siddharth_nagar,uttar_pradesh,UP
District,sonbhadra,uttar_pradesh,UP
District,hugli,west_bengal,WB
District,lower_dibang_valley,arunachal_pradesh,AR
District,mahisagar,gujarat,GJ
District,jalpaiguri,west_bengal,WB
District,sitapur,uttar_pradesh,UP
District,almora,uttarakhand,UT
District,lower_subansiri,arunachal_pradesh,AR
District,dehradun,uttarakhand,UT
District,sultanpur,uttar_pradesh,UP
District,leh,ladakh,LA
District,unnao,uttar_pradesh,UP
District,chamoli,uttarakhand,UT
District,north_and_middle_andaman,andaman_and_nicobar,AN
District,south_andaman,andaman_and_nicobar,AN
District,anantapur,andhra_pradesh,AD
District,poonch,jammu_and_kashmir,JK
District,south_west_garo_hills,meghalaya,ML
District,barddhaman,west_bengal,WB
District,south_west_khasi_hills,meghalaya,ML
District,birbhum,west_bengal,WB
District,aravalli,gujarat,GJ
District,nadia,west_bengal,WB
District,unokoti,tripura,TR
District,pashchim_medinipur,west_bengal,WB
District,botad,gujarat,GJ
District,puruliya,west_bengal,WB
District,south_24_parganas,west_bengal,WB
District,muzaffarabad,jammu_and_kashmir,JK
District,uttar_dinajpur,west_bengal,WB
District,kargil,ladakh,LA
District,bhadradri_kothagudem,telangana,TG
District,jagtial,telangana,TG
District,jangoan,telangana,TG
District,mulugu,telangana,TG
District,kamareddy,telangana,TG
District,karimnagar,telangana,TG
District,khammam,telangana,TG
District,mahabubabad,telangana,TG
District,mancherial,telangana,TG
District,medak,telangana,TG
District,nagarkurnool,telangana,TG
District,nalgonda,telangana,TG
District,nirmal,telangana,TG
District,nizamabad,telangana,TG
District,garhwal,uttarakhand,UT
District,namsai,arunachal_pradesh,AR
District,dima_hasao,assam,AS
District,balod,chhattisgarh,CT
District,baloda_bazar,chhattisgarh,CT
District,bemetara,chhattisgarh,CT
District,bilaspurct,chhattisgarh,CT
District,kondagaon,chhattisgarh,CT
District,gariaband,chhattisgarh,CT
District,kabeerdham,chhattisgarh,CT
District,sukma,chhattisgarh,CT
District,surajpur,chhattisgarh,CT
District,uttar_bastar_kanker,chhattisgarh,CT
District,chhota_udaipur,gujarat,GJ
District,gir_somnath,gujarat,GJ
District,devbhumi_dwarka,gujarat,GJ
District,morbi,gujarat,GJ
District,agar_malwa,madhya_pradesh,MP
District,longleng,nagaland,NL
District,palghar,maharashtra,MH
District,shamli,uttar_pradesh,UP
District,sahibzada_ajit_singh_nagar,punjab,PB
District,gomati,tripura,TR
District,khowai,tripura,TR
District,sipahijala,tripura,TR
District,kasganj,uttar_pradesh,UP
District,hapur,uttar_pradesh,UP
District,alipurduar,west_bengal,WB
District,y_s_r,andhra_pradesh,AD
District,hamirpurup,uttar_pradesh,UP
District,amethi,uttar_pradesh,UP
District,amroha,uttar_pradesh,UP
District,mau,uttar_pradesh,UP
District,sambhal,uttar_pradesh,UP
District,vijayapura,karnataka,KA
