type,state,statecode,covid19Name,apiName,district
District,andaman_and_nicobar,AN,Nicobars,nicobar_islands,nicobar_islands
District,tamil_nadu,TN,Nilgiris,the_nilgiris,the_nilgiris
District,telangana,TG,Nirmal,nirmal,nirmal
District,madhya_pradesh,MP,Niwari,tikamgarh,tikamgarh
District,telangana,TG,Nizamabad,nizamabad,nizamabad
District,manipur,MN,Noney,tamenglong,tamenglong
District,west_bengal,WB,North 24 Parganas,north_24_parganas,north_24_parganas
District,andaman_and_nicobar,AN,North and Middle Andaman,north_and_middle_andaman,north_and_middle_andaman
District,nct_of_delhi,DL,North Delhi,west,west
District,nct_of_delhi,DL,North East Delhi,west,west
District,meghalaya,ML,North Garo Hills,north_garo_hills,north_garo_hills
District,goa,GA,North Goa,north_goa,north_goa
District,sikkim,SK,North Sikkim,north_sikkim,north_sikkim
